sample_id,model,generation,problem_key,cppcheck_cwes,sanitizer_cwes,cppcheck_only,sanitizer_only,both,static_confirmed_dynamically
gemma/gen_1/00001/0030_958_E2._Guard_Duty__medium_,gemma,gen_1,958_E2_Guard_Duty__medium_,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0031_985_A._Chess_Placing,gemma,gen_1,985_A_Chess_Placing,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0032_p02574_AtCoder_Beginner_Contest_177_-_Coprime,gemma,gen_1,p02574_AtCoder_Beginner_Contest_177_-_Coprime,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0036_p03107_AtCoder_Beginner_Contest_120_-_Unification,gemma,gen_1,p03107_AtCoder_Beginner_Contest_120_-_Unification,CWE-563,,CWE-563,,,False
gemma/gen_1/00001/0043_p00447_Searching_Constellation,gemma,gen_1,p00447_Searching_Constellation,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0053_p02211_Apple_Adventure,gemma,gen_1,p02211_Apple_Adventure,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0054_p02365_Minimum-Cost_Arborescence,gemma,gen_1,p02365_Minimum-Cost_Arborescence,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00001/0055_1003_D._Coins_and_Queries,gemma,gen_1,1003_D_Coins_and_Queries,CWE-563,,CWE-563,,,False
gemma/gen_1/00001/0056_1027_E._Inverse_Coloring,gemma,gen_1,1027_E_Inverse_Coloring,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0058_1070_C._Cloud_Computing,gemma,gen_1,1070_C_Cloud_Computing,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0061_1158_F._Density_of_subarrays,gemma,gen_1,1158_F_Density_of_subarrays,CWE-398,CWE-190,CWE-398,CWE-190,,False
gemma/gen_1/00001/0061_1158_F._Density_of_subarrays.cpp,gemma,gen_1,1158_F_Density_of_subarrays,,CWE-190,,CWE-190,,False
gemma/gen_1/00001/0063_1199_E._Matching_vs_Independent_Set,gemma,gen_1,1199_E_Matching_vs_Independent_Set,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0066_1257_G._Divisor_Set,gemma,gen_1,1257_G_Divisor_Set,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0071_1366_A._Shovels_and_Swords,gemma,gen_1,1366_A_Shovels_and_Swords,CWE-563,,CWE-563,,,False
